idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
2186419,2024-01-01,VTRGR,"Valerio Trujano, Gro.","Tepecoacuilco, Gro.",Guerrero,Tepecoacuilco de Trujano,Balsas,18.295833000000002,-99.466111,AP/RI,R. Tepecoacuilco,Libre,,,1.51997,842.7800293,51.727,840.0,31.014,,834.8,9.659,0.311439994841039
2186420,2024-01-01,VGRGR,"Vicente Guerrero, Gro.","Palos Altos, Gro.",Guerrero,Arcelia,Balsas,18.382778,-100.265833,AP/RI,R. Poliutla,Libre,,,2.70001,430.2999878,300.0,425.0,249.49,,419.29,185.69,0.7442783277886881
2186480,2024-01-01,PIRMX,"Ignacio Ramírez, Méx.","La Gavia, Méx.",Estado de México,Almoloya de Juárez,Lerma-Santiago-Pacífico,19.461667,-99.775,RI,R. La Gavia,Libre,,,3.28002,2550.47998,36.29999924,2548.44,20.227,,2547.8,16.112,0.796559054728827
2186481,2024-01-01,TPTMX,"San Andrés Tepetitlán, Méx.","Tepetitlán,Méx.",Estado de México,San Felipe del Progreso,Lerma-Santiago-Pacífico,19.660833,-99.961389,RI,R. San José,Libre,,,2.92004,2594.459961,81.02899933,2592.02002,59.9659996,,2590.69,49.84,0.831137650209369
2186482,2024-01-01,TEPMC,"Tepuxtepec, Mich.","Tepuxtepec, Mich.",Michoacán de Ocampo,Contepec,Lerma-Santiago-Pacífico,20.000278,-100.229167,GH/RI,R. Lerma,Contr,,,2.0,2350.0,537.527,2348.11,449.97,,2345.54,344.051,0.7646087516945571
2186483,2024-01-01,SLSGJ,"Solís, Gto.","Solis, Gto.",Guanajuato,Acámbaro,Lerma-Santiago-Pacífico,20.055278,-100.669722,RI,R. Lerma,Contr,,,3.0,1898.7,1214.14,1892.54,800.0,,1885.71,439.82,0.549775
2186484,2024-01-01,PFBMX,"Francisco José Trinidad Fabela, Méx.","Islas de las Aves o El Salto, Méx.",Estado de México,Atlacomulco,Lerma-Santiago-Pacífico,19.829166999999998,-99.790278,RI,R. Del Salto,Libre,,,1.69995,2697.800049,12.32,2696.699951,9.93,,2691.31,2.035,0.20493454179254703
2186485,2024-01-01,LDYGJ,"Laguna de Yuriria, Gto.","Bordo de Tavamatacheo, Gto.",Guanajuato,Yuriria,Lerma-Santiago-Pacífico,20.286944,-101.073056,RI,R. Lerma,Contr,,,0.0,1731.400024,325.1950073,1730.92,278.79,,1727.47,31.605,0.113364898310556
2186486,2024-01-01,TMUMC,"Tercer Mundo, Mich.","Chincua, Mich.",Michoacán de Ocampo,Senguio,Lerma-Santiago-Pacífico,19.766389,-100.299167,RI,R. Chincua,Libre,,,2.41992,2428.580078,17.33200073,2427.580078,14.97200012,,2425.09,9.788,0.6537536682841011
2186487,2024-01-01,COIMC,"Cointzio, Mich.","Cointzio, Mich.",Michoacán de Ocampo,Morelia,Lerma-Santiago-Pacífico,19.629722,-101.259167,AP/RI,R. Grande de Morelia,Contr,,,1.5000499999999999,2001.319946,79.23300171,1999.47,68.52,,1991.84,33.62,0.49065966141272604
2186488,2024-01-01,MLPMC,"Malpaís, Mich.","La Ciénega, Mich.",Michoacán de Ocampo,Queréndaro,Lerma-Santiago-Pacífico,19.829166999999998,-100.873611,RI,R. Quérendaro,Mixto,,,1.0,1843.56,27.249,1842.530029,18.512,,1842.71,19.966,1.07854364736387
2186489,2024-01-01,PRSGJ,"La Purísima, Gto.","La Purísima, Gto.",Guanajuato,Guanajuato,Lerma-Santiago-Pacífico,20.867221999999998,-101.287778,RI,R. Guanajuato,Contr,,,0.0,1860.7,181.926,1853.47,110.0,,1844.47,46.544,0.423127272727272
